round,year,home,away,home_elo_2009,away_elo_2009,home_injuries_top5,home_injuries_top10,away_injuries_top5,away_injuries_top10,home_odds_open,home_odds_win_prob_close,home_season,standing_away,standing_home,thurs_fri,sat,sun,evening,margin,home_win,home_injuries_95th_to_90th,away_injuries_95th_to_90th,expected_margin
10,2013,North Melbourne,St Kilda,1507.790253,1604.250745,0,0,0,0,1.31,0.806743282,North Melbourne_2013,16,12,0,0,1,0,68,1,0,0,29.5
10,2013,Melbourne,Hawthorn,1316.024681,1659.510225,0,0,0,0,19.52,0.030195439,Melbourne_2013,1,17,0,0,1,0,-95,0,0,0,-87.5
10,2013,Geelong,Gold Coast,1722.777013,1340.228265,0,0,0,0,1.03,0.937728938,Geelong_2013,13,2,0,1,0,1,52,1,0,0,53.5
10,2013,Western Bulldogs,Port Adelaide,1443.566324,1349.959998,0,1,0,0,2.4,0.348730287,Western Bulldogs_2013,11,14,0,1,0,1,9,1,1,0,-13.5
10,2013,Sydney,Essendon,1602.140445,1485.995392,0,0,0,0,1.52,0.623918808,Sydney_2013,5,3,0,1,0,0,44,1,0,0,11.5
10,2013,Adelaide,Fremantle,1532.607694,1493.75393,0,0,0,0,1.81,0.519652028,Adelaide_2013,4,9,0,1,0,0,-7,0,0,0,2.5
10,2013,Carlton,GWS Giants,1567.971133,1349.170384,0,0,0,0,1.02,0.964581324,Carlton_2013,18,6,0,1,0,0,94,1,0,0,81.5
10,2013,Brisbane Lions,Collingwood,1404.735726,1670.382205,1,1,0,0,3.85,0.217853502,Brisbane Lions_2013,8,15,1,0,0,1,-49,0,0,0,-27.5
9,2013,Fremantle,Melbourne,1488.777383,1321.001228,0,0,0,0,1.02,0.960436893,Fremantle_2013,17,4,0,0,1,0,90,1,0,0,63.5
9,2013,North Melbourne,Adelaide,1507.790253,1532.607694,0,0,0,0,1.53,0.683287796,North Melbourne_2013,7,13,0,0,1,0,-1,0,0,0,15.5
9,2013,Hawthorn,Gold Coast,1656.896606,1342.841884,0,0,0,0,1.02,0.960436893,Hawthorn_2013,12,1,0,0,1,0,26,1,0,0,63.5
9,2013,Richmond,Essendon,1424.713128,1481.85158,0,0,0,0,2.05,0.453228531,Richmond_2013,3,10,0,1,0,1,-29,0,0,0,-3.5
9,2013,Brisbane Lions,Carlton,1407.20165,1565.505209,0,0,0,0,2.84,0.331685251,Brisbane Lions_2013,8,14,0,1,0,1,-13,0,0,0,-15.5
9,2013,St Kilda,Western Bulldogs,1607.461592,1440.355477,0,0,0,0,1.25,0.827403689,St Kilda_2013,16,15,0,1,0,0,-9,0,0,0,33.5
9,2013,GWS Giants,West Coast,1354.272395,1523.46426,0,0,0,0,22.73,0.039563107,GWS Giants_2013,6,18,0,1,0,0,-100,0,0,0,-66.5
9,2013,Port Adelaide,Geelong,1352.585034,1720.151976,0,0,0,0,5.8,0.191583813,Port Adelaide_2013,2,9,0,1,0,0,-48,0,0,0,-25.5
9,2013,Collingwood,Sydney,1676.781161,1595.741489,0,0,0,0,1.67,0.593825282,Collingwood_2013,5,11,1,0,0,1,-47,0,0,0,7.5
8,2013,Adelaide,St Kilda,1526.620488,1613.448797,0,0,0,0,1.34,0.711261439,Adelaide_2013,15,9,0,0,1,0,40,1,0,0,20.5
8,2013,Richmond,Melbourne,1420.467992,1325.246364,0,0,0,0,1.03,0.946286472,Richmond_2013,17,7,0,0,1,0,34,1,0,0,71.5
8,2013,Carlton,Port Adelaide,1562.747418,1355.342825,0,0,0,0,1.39,0.69587977,Carlton_2013,6,10,0,0,1,0,18,1,0,0,18.5
8,2013,Collingwood,Geelong,1674.726511,1722.206626,0,0,0,0,3.01,0.26731511,Collingwood_2013,2,8,0,1,0,1,6,1,0,0,-22.5
8,2013,Sydney,Fremantle,1595.741489,1488.777383,0,0,0,0,1.44,0.746161884,Sydney_2013,5,4,0,1,0,1,0,0,0,0,18.5
8,2013,Gold Coast,Western Bulldogs,1337.753776,1445.443586,0,0,0,0,1.64,0.562131097,Gold Coast_2013,16,12,0,1,0,0,32,1,0,0,10.5
8,2013,Hawthorn,GWS Giants,1653.629071,1357.53993,0,0,0,0,1.01,0.98417994,Hawthorn_2013,18,1,0,1,0,0,83,1,0,0,101.5
8,2013,Essendon,Brisbane Lions,1484.865507,1404.187723,0,0,0,0,1.05,0.931698113,Essendon_2013,14,3,0,1,0,0,-10,0,0,0,49.5
8,2013,West Coast,North Melbourne,1523.46426,1507.790253,0,0,0,0,1.39,0.69587977,West Coast_2013,13,11,1,0,0,1,2,1,0,0,18.5
7,2013,St Kilda,Carlton,1610.724521,1565.471694,0,0,0,0,3.85,0.219453673,St Kilda_2013,11,14,0,0,0,1,9,1,0,0,-25.5
7,2013,Melbourne,Gold Coast,1331.57259,1331.427551,0,0,0,0,1.85,0.436858925,Melbourne_2013,13,17,0,0,1,0,-60,0,0,0,-6.5
7,2013,GWS Giants,Adelaide,1363.148057,1521.012361,0,0,0,0,10.25,0.077154725,GWS Giants_2013,9,18,0,0,1,0,-135,0,0,0,-47.5
7,2013,Fremantle,Collingwood,1483.891001,1679.612892,0,0,0,0,2.18,0.350692354,Fremantle_2013,8,6,0,1,0,0,27,1,0,0,-11.5
